date,time,liks,DL_sig
2022-03-31,1111,0.5463488,
2022-03-31,1112,0.5151326,
2022-03-31,1113,0.5832194,
2022-03-31,1114,0.54552954,
2022-03-31,1115,0.56484896,
2022-03-31,1116,0.5267151,
2022-03-31,1117,0.5122536,
2022-03-31,1118,0.5392178,
2022-03-31,1119,,
2022-03-31,1120,0.5005826,
2022-03-31,1121,0.50966537,
2022-03-31,1122,0.5022504,
2022-03-31,1123,0.5872589,
2022-03-31,1124,0.50686276,
2022-03-31,1125,,
2022-03-31,1126,0.5416182,
2022-03-31,1127,,
2022-03-31,1128,0.5830269,
2022-03-31,1129,0.5474167,
2022-03-31,1130,0.5280168,
2022-03-31,1131,0.6225483,
2022-03-31,1132,0.5229041,
2022-03-31,1133,0.5815832,
2022-03-31,1134,,
2022-03-31,1135,0.5684448,
2022-03-31,1136,0.5079963,
2022-03-31,1137,0.5483025,
2022-03-31,1138,0.5317325,
2022-03-31,1139,0.5539557,
2022-03-31,1140,0.5285427,
2022-03-31,1141,0.53542846,
2022-03-31,1142,0.56919163,
2022-03-31,1143,0.510305,
2022-03-31,1144,0.5860133,
2022-03-31,1145,0.5104154,
2022-03-31,1146,0.50756407,
2022-03-31,1147,0.5573401,
2022-03-31,1148,0.6032588,
2022-03-31,1149,0.6058401,
2022-03-31,1150,0.5771212,
2022-03-31,1151,,
2022-03-31,1152,,
2022-03-31,1153,0.58719623,
2022-03-31,1154,0.609357,
2022-03-31,1155,0.5630944,
2022-03-31,1156,0.5428841,
2022-03-31,1157,0.580157,
2022-03-31,1158,0.6189082,
2022-03-31,1159,0.62407464,
2022-03-31,1200,0.593415,
2022-03-31,1201,0.52464443,
2022-03-31,1202,0.56615037,
2022-03-31,1203,0.6265028,
2022-03-31,1204,,
2022-03-31,1205,0.6301237,
2022-03-31,1206,0.60766894,
2022-03-31,1207,0.5988019,
2022-03-31,1208,0.576888,
2022-03-31,1209,0.61100024,
2022-03-31,1210,0.5962933,
2022-03-31,1211,0.5028709,
2022-03-31,1212,,
2022-03-31,1213,,
2022-03-31,1214,0.5294369,
2022-03-31,1215,0.56051975,
2022-03-31,1216,0.52493227,
2022-03-31,1217,0.57592523,
2022-03-31,1218,0.56071025,
2022-03-31,1219,0.57594925,
2022-03-31,1220,0.52639717,
2022-03-31,1221,,
2022-03-31,1222,,
2022-03-31,1223,,
2022-03-31,1224,0.5999974,
2022-03-31,1225,0.57768947,
2022-03-31,1226,0.50951904,
2022-03-31,1227,0.65186965,
2022-03-31,1228,,
2022-03-31,1229,0.57064074,
2022-03-31,1230,,
2022-03-31,1231,0.5130872,
2022-03-31,1232,0.60739964,
2022-03-31,1233,0.52852374,
